id_rodzaj_pojazdu,liczba-wystapien
O AD. POW. 2 DO 8T - FURGON CHODNIA,6
O AD. POW. 2 DO 8T - FURGON IZOTERMICZNY,4
O AD. POW. 2 DO 8T - FURGON UNIWERSALNY,20
O AD. POW. 2 DO 8T - POJEMNIK,1
O ADOWNOCI DO 2T - FURGON DO PRZEWOZU OSÓB,1
O ADOWNOCI DO 2T - INNY DO PRZEWOZU INNYCH ADUNKÓW,5
O LADOWNOSCI DO 8T - CYSTERNA,1
O LADOWNOSCI DO 8T - FURGON,10
O LADOWNOSCI DO 8T - INNA,47
O LADOWNOSCI DO 8T - POJEMNIK,1
O LADOWNOSCI POW. 8T - FURGON,14
O LADOWNOSCI POW.8T - CYSTERNA,7
O LADOWNOSCI POW.8T - POJEMNIK,2
O LADOWNOSCI POWYZEJ 8T - INNA,14
O TAD. POW. 2 DO 8T - FURGON CHTODNIA,1
O TAD. POW. 2 DO 8T - FURGON IZOTERMICZNY,1
O TAD. POW. 2 DO 8T - FURGON UNIWERSALNY,10
O TADOWNOCI DO 2T - FURGON DO PRZEWOZU OSRB,12
O TADOWNOCI DO 2T - INNY DO PRZEWOZU INNYCH TADUNKRW,1
O ŁAD. POW. 2 DO 8T - CYSTERNA,1
O ŁAD. POW. 2 DO 8T - FURGON CHŁODNIA,77
O ŁAD. POW. 2 DO 8T - FURGON IZOTERMICZNY,49
O ŁAD. POW. 2 DO 8T - FURGON UNIWERSALNY,159
O ŁAD. POW. 2 DO 8T - POJEMNIK,2
O ŁAD.POW.8T - INNY DO PRZEWOZU ELEMENTÓW BUDOWLANYCH,1
O ŁAD.POW.8T - INNY DO PRZEWOZU INNYCH ŁADUNKÓW,17
O ŁADOWN. POW. 2 DO 8T - INNY,4
O ŁADOWNOŚCI DO 2T - DO PRZEW.ELEMENTÓW BUDOWLANYCH,2
O ŁADOWNOŚCI DO 2T - FURGON DO PRZEWOZU OSÓB,92
O ŁADOWNOŚCI DO 2T - INNY,2
O ŁADOWNOŚCI DO 2T - INNY DO PRZEWOZU INNYCH ŁADUNKÓW,13
O ŁADOWNOŚCI DO 8 TON,1
O ŁADOWNOŚCI POW. 8 TOM,1
O ŁADOWNOŚCI POW. 8T - FURGON,2
O ŁADOWNOŚCI POW.8T - POJEMNIK,1
O ŁADOWNOŚCI POWYŻEJ 8T - INNY DO PRZEW.KONTENERÓW,1
OSOBOWY,309140
P.AUTOBUSOWA,9
P.ROL.C.SPECJALIZOW.,1014
P.ROL.CIĘŻ.SPECJALIZOWANA,176
P.ROL.CIĘŻ.UNIW.,340
P.ROL.CIĘŻ.UNIWERSAL,1254
P.ROL.SPECJALNA,19
P.SAM.CIĘŻ.SPECJALIZOWANA,1557
P.SAM.NISKOP.,5
P.SAM.SPECJALNA,67
P.SAMOCH.LEKKA,1086
P.SAMOCH.UNIW.,909
POGOTOWIE TECHNICZNO-WARSZTATOWE,4
POJAZD WOLNOBIEŻNY-KOLEJKA TURYSTYCZNA,98
PRZ.ROL.SPECJALNE,52
PRZ.SAM.CIĘ.SPECJALI,4101
PRZ.SAM.CIĘŻ.SPECJALI,1147
PRZ.SAM.NISKOPODWOZ.,86
PRZ.SAM.SPECJALNE,1469
PRZ.SAM.UNIWERSALNE,5934
PRZ.SPECJALIZOWANA O ŁAD. DO 8 TON - CYSTERNA,3
PRZY.ROL.SPECJALIZOWANA - SAMOWYADOWCZA,7
PRZY.ROL.SPECJALIZOWANA - SAMOWYTADOWCZA,12
PRZY.ROL.SPECJALIZOWANA - SAMOWYŁADOWCZA,182
PRZY.ROL.SPECJALNA - INNA,4
PRZYCZ. ROL.,15
PRZYCZ. UNIWERS.,3550
PRZYCZ.AUTOBUS.,9
PRZYCZ.AUTOBUSOWA,2
PRZYCZ.CIĘŻ.SPECJALIZ.,798
PRZYCZ.CIĘŻ.UNIWERSALNA,2150
PRZYCZ.NISKOPODW.,32
PRZYCZ.R.SPECJALIZOW.,41639
PRZYCZ.R.SPECJALIZOWANA,172
PRZYCZ.R.UNIWERSALNA,49688
PRZYCZ.ROL-CIEZA,951
PRZYCZ.ROL-CIEZAR,82
PRZYCZ.ROL-CIĘŻAR,64
PRZYCZ.ROL-SPEC,76
PRZYCZ.ROL-SPEC.,56
PRZYCZ.ROL-UNIWE,1219
PRZYCZ.ROL-UNIWER,244
PRZYCZ.ROLN.SPECJALNA,2091
PRZYCZ.SAM-LEKKA,6583
PRZYCZ.SAM-LEKKA.,3149
PRZYCZ.SPECJALI.,1865
PRZYCZ.SPECJALIZ.,1630
PRZYCZ.SPECJALIZOWANA,73547
PRZYCZ.SPECJALIZOWANA NISKOPODWOZ. O LAD. POW.20-40T,3
PRZYCZ.SPECJALIZOWANA NISKOPODWOZIOWA O LAD.POW.100T,2
PRZYCZ.SPECJALIZOWANA NISKOPOWOZIOWA O LAD. DO 20T,83
PRZYCZ.SPECJALIZOWANA O LAD. DO 8T - SAMOWYLADOWCZA,170
PRZYCZ.SPECJALIZOWANA O LAD. POW. 8T -SAMOWYLADOWCZA,52
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI DO 8T - FURGON DO PRZEWOZU OSOB,1
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI DO 8T - INNA DO PRZEWOZU INNYCH LADUN,79
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI DO 8T - INNA DO PRZEWOZU KONTENEROW,1
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI DO 8T - INNA DO PRZEWOZU ZYWYCH ZWIER,3
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI POW. 8T - FURGON CHLODNIA,4
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI POW. 8T - FURGON DO PRZEWOZU OSOB,2
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI POW.8T - CYSTERNA DO PRZEWOZU INNYCH,2
PRZYCZ.SPECJALIZOWANA O LADOWNOSCI POWYZEJ 8T - INNA DO PRZEWOZU INNYCH,127
PRZYCZ.SPECJALNA,297
PRZYCZ.SPECJALNE,1149
PRZYCZ.UNIWERS.,2010
PRZYCZEPA AUTOBUSOWA,896
PRZYCZEPA CIALAROWA ROLNICZA,1
PRZYCZEPA CIEZAROWA,1
PRZYCZEPA CIEZAROWA ROLNI,1
PRZYCZEPA CIĘZAROWA ROLNICZA,198
PRZYCZEPA CIĘŹAROWA SPECJALIZOWANA O ŁAD. DO 8 TON FURGON IZOTERMICZNY,2
PRZYCZEPA CIĘŻ.,2
PRZYCZEPA CIĘŻ.ROL.,1848
PRZYCZEPA CIĘŻ.ROLN.,136
PRZYCZEPA CIĘŻ.ROLNIC,2911
PRZYCZEPA CIĘŻAR-ROLN,9
PRZYCZEPA CIĘŻAROWA,528387
PRZYCZEPA CIĘŻAROWA R,364
PRZYCZEPA CIĘŻAROWA ROLNICZA,444587
PRZYCZEPA CIĘŻAROWA SPECJALIZOWANA,831
PRZYCZEPA CIĘŻAROWA UNIWERSALNA Z WYJĄTKIEM LEKKIEJ,1056
PRZYCZEPA LEKKA,1559825
PRZYCZEPA LEKKA - CIEZAROWA,560
PRZYCZEPA LEKKA - INNA,173
PRZYCZEPA ROLNICZ.SPECJALIZOW.,1864
PRZYCZEPA ROLNICZA CIĘŻAROWA SPECJALIZOWANA,303
PRZYCZEPA ROLNICZA CIĘŻAROWA UNIWERSALNA,321
PRZYCZEPA ROLNICZA SPECJALIZOW.,3
PRZYCZEPA ROLNICZA SPECJALNA,141
PRZYCZEPA ROLNICZA UNIWERSALNA,2120
PRZYCZEPA SPECJALIZOWANA,2467
PRZYCZEPA SPECJALIZOWANA - POJEMNIK O ŁADOWNOŚCI POW.8T,1
PRZYCZEPA SPECJALIZOWANA DO PRZEWOZU YWYCH ZWIERZT,1
PRZYCZEPA SPECJALIZOWANA DO PRZEWOZU ŻYWYCH ZWIERZĄT,1
PRZYCZEPA SPECJALIZOWANA O ŁAD.DO 8 TON - CYSTERNA ASENIZACYJNA,1
PRZYCZEPA SPECJALIZOWANA O ŁADOWNOŚCI POW. 8 TON - INNA,1
PRZYCZEPA SPECJALNA,219639
PRZYCZEPA SPECJALNA - KEMPINGOWA,180
PRZYCZEPA SPECJALNA INNA,25
PRZYCZEPA UNIWERSALNA,107592
PRZYCZEPA UNIWERSALNA O ADOWNOCI DO 2.0 TON,1
PRZYCZEPA UNIWERSALNA O LADOWNOSCI DO 8T,666
PRZYCZEPA UNIWERSALNA O LADOWNOSCI POWYZEJ 8T,188
PRZYCZEPA-KOLEJKA TURYSTYCZNA,208
PRZYCZEPA.R.SPECJALIZOWANA,62
PRZYCZEPY AUTOBUSOWE,38
PRZYCZEPY CIALLAROWE SPECJ,1
PRZYCZEPY CIALLAROWE UNIWE,3
PRZYCZEPY CIĘŻAROWE SPECJ,592
PRZYCZEPY CIĘŻAROWE UNIWE,1312
PRZYCZEPY LEKKIE,904
PRZYCZEPY ROLNICZE CIALLAR,1
PRZYCZEPY ROLNICZE CIĘŻAR,1003
PRZYCZEPY ROLNICZE SPECJA,27
PRZYCZEPY SAM.LEKKIE,5376
PRZYCZEPY SPECJALNE,152
RODZ_PPROF,100
SAM.BALASTOWY,1
SAM.CI. UNIWERSALNY,44
SAM.CI. UNIWERSALNY O TAD.POW. 2 DO 8 TON,69
SAM.CI. UNIWERSALNY O TADOWNOCI DO 2T,71
SAM.CI.SPECJALIZOW.,24
SAM.CIAROWO-OSOBOWY,16
SAM.CIEZ. UNIWERSALNY,10925
SAM.CIEZ. UNIWERSALNY O LADOWNOSCI POWYZEJ 8T,122
SAM.CIEZ.SPECJALIZOW.,3685
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - CYSTERNA DO PRZEWOZU INNYCH,9
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - CYSTERNA DO PRZEWOZU MLEKA,6
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - CYSTERNA DO PRZEWOZU PALIW P,10
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - FURGON DO PRZEWOZU KONFEKCJI,1
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - FURGON DO PRZEWOZU MEBLI,3
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - FURGON DO PRZEWOZU OSOB,3
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T - FURGON UNIWERSALNY,2
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 2 DO 8T-SAMOWYLAD.,336
SAM.CIEZ.SPECJALIZOW. O LAD. POW. 8T -SAMOWYLADOWCZY,77
SAM.CIEZ.SPECJALIZOW. O LADOWN. POW. 2 DO 8T - INNY DO PRZEWOZU INNYCH L,34
SAM.CIEZ.SPECJALIZOW. O LADOWN. POW. 2 DO 8T - INNY DO PRZEWOZU ZYWYCH Z,5
SAM.CIEZ.SPECJALIZOW. O LADOWNOSCI DO 2T - FURGON CHLODNIA,3
SAM.CIEZ.SPECJALIZOW. O LADOWNOSCI DO 2T - FURGON INNY,1
SAM.CIEZ.SPECJALIZOW. O LADOWNOSCI DO 2T - FURGON IZOTERMICZNY,33
SAM.CIEZ.SPECJALIZOW. O LADOWNOSCI DO 2T - FURGON LODOWNIA,4
SAM.CIEZ.SPECJALIZOW. O LADOWNOSCI DO 2T - FURGON UNIWERSALNY,794
SAM.CIEZ.SPECJALIZOWANY,111
SAM.CIEZ.SPECJALNY,32
SAM.CIEZ.UNIWERSALNY,338
SAM.CIEZAROWO OSOBOWE,32
SAM.CIEZAROWO-OSOBOWY,3881
SAM.CIEZAROWY SPECJALIZOWANY,1
SAM.CIĘŻ. UNIWERSALNY,362133
SAM.CIĘŻ. UNIWERSALNY O AD.POW. 2 DO 8 TON,171
SAM.CIĘŻ. UNIWERSALNY O ADOWNOCI DO 2T,212
SAM.CIĘŻ. UNIWERSALNY O ŁAD.POW. 2 DO 8 TON,1265
SAM.CIĘŻ. UNIWERSALNY O ŁADOWNOŚCI DO 2T,1661
SAM.CIĘŻ.-SPECJALIZOW,1
SAM.CIĘŻ.-UNIWERSAL.,21925
SAM.CIĘŻ.SPECJALIZOW.,127294
SAM.CIĘŻ.SPECJALIZOW. O LAD. DO 2T - SAMOWYLADOWCZY,1
SAM.CIĘŻ.SPECJALIZOWANY,1295
SAM.CIĘŻ.SPECJALIZOWANY O ŁAD.2 DO 8 TON - CHŁODNIA,2
SAM.CIĘŻ.SPECJALIZOWANY O ŁAD.DO 2T - FURGON INNY,1
SAM.CIĘŻ.UNIWERSALNY,6441
