id_pochodzenie_pojazdu,liczba-wystapien
NOWY IMPORT INDYW,205305
NOWY ZAKUPIONY W KRAJU,10386846
ODZYSKANY PO KRADZIEŻY,8136
POJAZD POWIERZONY PRZEZ PODMIOT ZAGRANICZNY,3491
PONOWNA REJESTRACJA,50745
UŻYW. IMPORT INDYW,11614295
UŻYW. ZAKUPIONY W KRAJU,24227044
ZAKUPIONY OD SŁUŻB,7731
ZAKUPIONY PO PRZEPADKU NA RZECZ SKARBU PAŃSTWA,2573
ZMIANA WŁAŚCIWOŚCI URZĘDU,263051
